Ê±¼ä(s),ÎÂ¶È(?C)
19,30.43
19.5,30.45
20,31.45
20.5,31.84
21,32.35
21.5,32.89
22,33.55
22.5,33.95
23,34.63
23.5,37.75
24,39.69
24.5,36.35
25,40.04
25.5,39.75
26,41.58
26.5,42.09
27,45.69
27.5,45.39
28,45.39
28.5,45.23
29,47.68
29.5,45.94
30,46.95
30.5,47.96
31,48.86
31.5,50.65
32,50.75
32.5,51.71
33,52.69
33.5,53.49
34,53.76
34.5,55.68
35,52.79
35.5,55.56
36,56.73
36.5,57.38
37,58.59
37.5,59.61
38,63.74
38.5,61.67
39,62.7
39.5,62.73
40,65.75
40.5,64.77
41,68.79
41.5,65.8
42,66.81
42.5,70.81
43,71.81
43.5,73.8
44,74.76
44.5,75.77
45,76.75
45.5,72.71
46,78.67
46.5,79.83
47,76.57
47.5,80.51
48,82.44
48.5,83.37
49,83.28
49.5,85.19
50,86.09
50.5,86.99
51,87.87
51.5,88.75
52,85.62
52.5,86.48
53,90.34
53.5,91.68
54,91.92
54.5,91.05
55,93.68
55.5,93.49
56,91.3
56.5,98.1
57,95.89
57.5,99.68
58,97.96
58.5,95.23
59,94.99
59.5,97.75
60,100.5
60.5,103.24
61,103.97
61.5,103.7
62,103.42
62.5,105.13
63,106.84
63.5,107.57
64,109.23
64.5,110.98
65,109.59
65.5,110.26
66,109.93
66.5,109.99
67,116.64
67.5,114.83
68,111.52
68.5,113.16
69,115.79
69.5,115.61
70,115.02
70.5,113.63
71,118.23
71.5,117.93
72,118.42
72.5,119
73,119.58
73.5,120.85
74,120.92
74.5,120.98
75,120.74
75.5,121.99
76,124.13
76.5,127.47
77,126.01
77.5,126.54
78,124.06
78.5,125.58
79,127.09
79.5,126.6
80,127.1
80.5,128.6
81,127.09
81.5,128.58
82,129.06
82.5,129.54
83,125.02
83.5,123.77
84,128.95
84.5,129.41
85,129.86
85.5,131.31
86,132.76
86.5,131.2
87,134.64
87.5,130.07
88,131.5
88.5,134.83
89,135.35
89.5,136.76
90,137.17
90.5,137.58
91,137.98
91.5,134.38
92,134.78
92.5,135.17
93,135.56
93.5,135.94
94,138.32
94.5,138.7
95,139.07
95.5,139.44
96,137.8
96.5,141.16
97,141.52
97.5,142.88
98,141.23
98.5,143.57
99,143.92
99.5,142.26
100,142.59
100.5,142.93
101,143.26
101.5,143.59
102,143.91
102.5,144.23
103,144.55
103.5,144.86
104,145.17
104.5,144.48
105,144.78
105.5,145.09
106,145.38
106.5,145.68
107,145.97
107.5,147.26
108,148.55
108.5,148.83
109,149.11
109.5,149.39
110,149.67
110.5,149.94
111,150.21
111.5,150.48
112,150.74
112.5,149
113,149.26
113.5,149.52
114,149.78
114.5,150.03
115,150.28
115.5,150.52
116,150.77
116.5,153.01
117,153.25
117.5,153.49
118,153.72
118.5,153.95
119,154.18
119.5,154.41
120,154.64
120.5,154.86
121,155.08
121.5,153.3
122,153.52
122.5,153.73
123,153.94
123.5,152.15
124,153.36
124.5,153.57
125,153.77
125.5,153.97
126,157.17
126.5,158.37
127,155.57
127.5,155.76
128,155.95
128.5,156.14
129,156.33
129.5,156.52
130,156.7
130.5,156.88
131,157.07
131.5,157.24
132,157.42
132.5,157.6
133,157.77
133.5,157.94
134,158.11
134.5,158.28
135,158.45
135.5,158.61
136,158.78
136.5,158.94
137,159.1
137.5,159.26
138,159.42
138.5,159.57
139,159.73
139.5,159.88
140,160.03
140.5,160.18
141,160.33
141.5,160.47
142,160.62
142.5,160.76
143,160.9
143.5,161.04
144,161.18
144.5,161.32
145,161.46
145.5,163.59
146,161.73
146.5,161.86
147,161.99
147.5,162.12
148,162.25
148.5,162.38
149,162.5
149.5,162.63
150,162.75
150.5,162.87
151,162.99
151.5,163.11
152,163.23
152.5,163.35
153,163.47
153.5,163.58
154,163.7
154.5,163.81
155,163.92
155.5,164.03
156,164.14
156.5,164.25
157,164.36
157.5,164.46
158,164.57
158.5,164.67
159,164.77
159.5,164.88
160,164.98
160.5,167.08
161,167.18
161.5,167.27
162,167.37
162.5,167.47
163,165.56
163.5,165.66
164,165.75
164.5,165.84
165,165.93
165.5,166.03
166,166.12
166.5,168.21
167,168.29
167.5,168.38
168,168.47
168.5,168.56
169,168.65
169.5,168.74
170,168.83
170.5,168.92
171,168.01
171.5,168.71
172,167.19
172.5,167.29
173,167.38
173.5,167.49
174,167.59
174.5,167.7
175,167.81
175.5,167.93
176,168.05
176.5,168.18
177,168.31
177.5,168.45
178,168.59
178.5,168.75
179,168.9
179.5,169.07
180,168.24
180.5,168.41
181,168.6
181.5,168.78
182,169.98
182.5,173.18
183,173.38
183.5,173.59
184,173.81
184.5,174.03
185,174.25
185.5,174.47
186,174.7
186.5,174.93
187,175.16
187.5,175.39
188,175.62
188.5,175.86
189,175.09
189.5,175.32
190,175.56
190.5,175.79
191,175.02
191.5,177.26
192,177.49
192.5,177.72
193,177.94
193.5,175.17
194,175.39
194.5,175.62
195,175.84
195.5,176.06
196,175.28
196.5,175.5
197,175.73
197.5,174.95
198,175.18
198.5,175.4
199,177.63
199.5,177.86
200,178.09
200.5,178.33
201,178.58
201.5,178.83
202,179.09
202.5,179.36
203,179.63
203.5,179.93
204,180.23
204.5,180.55
205,180.89
205.5,181.25
206,181.62
206.5,182.01
207,182.42
207.5,182.86
208,183.32
208.5,183.79
209,184.28
209.5,184.8
210,185.32
210.5,185.87
211,186.43
211.5,187
212,187.58
212.5,188.18
213,188.78
213.5,189.4
214,190.02
214.5,190.64
215,191.26
215.5,191.89
216,192.51
216.5,198.14
217,198.76
217.5,194.37
218,194.99
218.5,195.6
219,196.2
219.5,196.8
220,195.39
220.5,195.97
221,196.55
221.5,197.12
222,197.69
222.5,202.25
223,202.79
223.5,204.34
224,204.87
224.5,204.4
225,204.92
225.5,204.43
226,205.93
226.5,206.42
227,206.89
227.5,207.36
228,207.81
228.5,205.25
229,205.68
229.5,207.1
230,207.51
230.5,207.92
231,207.31
231.5,207.7
232,208.08
232.5,208.46
233,208.83
233.5,212.19
234,212.55
234.5,212.91
235,213.26
235.5,213.61
236,213.95
236.5,214.3
237,214.64
237.5,214.97
238,215.3
238.5,215.63
239,215.96
239.5,217.3
240,217.63
240.5,217.97
241,215.31
241.5,215.65
242,216
242.5,216.35
243,216.7
243.5,217.05
244,217.41
244.5,217.76
245,218.12
245.5,218.48
246,218.85
246.5,219.21
247,219.57
247.5,219.93
248,220.29
248.5,220.65
249,220.01
249.5,220.37
250,220.73
250.5,220.08
251,220.44
251.5,220.79
252,220.14
252.5,220.48
253,220.83
253.5,224.17
254,224.51
254.5,224.85
255,225.18
255.5,225.51
256,225.84
256.5,226.16
257,226.49
257.5,226.8
258,227.12
258.5,227.43
259,227.74
259.5,226.05
260,226.35
260.5,226.65
261,226.95
261.5,226.24
262,227.53
262.5,227.82
263,230.11
263.5,230.39
264,230.67
264.5,230.94
265,231.22
265.5,231.49
266,231.75
266.5,232.02
267,232.28
267.5,232.53
268,232.79
268.5,233.04
269,233.29
269.5,233.54
270,233.78
270.5,236.02
271,236.26
271.5,234.5
272,234.73
272.5,234.96
273,235.19
273.5,235.41
274,235.64
274.5,235.86
275,236.08
275.5,236.29
276,236.5
276.5,236.71
277,236.92
277.5,237.13
278,237.33
278.5,237.53
279,237.73
279.5,237.93
280,238.12
280.5,238.32
281,238.51
281.5,238.69
282,238.88
282.5,239.06
283,239.24
283.5,239.42
284,239.6
284.5,239.78
285,239.95
285.5,241.12
286,241.29
286.5,241.46
287,241.62
287.5,241.78
288,241.94
288.5,243.09
289,243.23
289.5,243.37
290,243.85
290.5,243.63
291,243.75
291.5,243.86
292,241.96
292.5,242.04
293,242.12
293.5,242.18
294,242.23
294.5,242.26
295,242.28
295.5,242.28
296,242.27
296.5,242.24
297,242.2
297.5,242.14
298,242.07
298.5,241.98
299,241.89
299.5,241.78
300,241.66
300.5,241.52
301,241.37
301.5,241.2
302,241.01
302.5,242.81
303,242.59
303.5,242.35
304,242.1
304.5,239.82
305,239.53
305.5,239.22
306,238.89
306.5,238.54
307,238.17
307.5,237.78
308,237.37
308.5,236.95
309,236.5
309.5,236.04
310,235.55
310.5,235.05
311,234.53
311.5,234
312,233.44
312.5,232.87
313,232.29
313.5,231.69
314,231.07
314.5,230.45
315,229.8
315.5,229.15
316,227.48
316.5,224.8
317,227.11
317.5,226.41
318,225.7
318.5,224.98
319,224.25
319.5,223.51
320,222.77
320.5,222.01
321,221.25
321.5,220.48
322,219.71
322.5,218.93
323,218.15
323.5,217.36
324,216.57
324.5,215.77
325,214.97
325.5,214.16
326,213.35
326.5,212.54
327,211.73
327.5,210.91
328,212.1
328.5,208.28
329,208.46
329.5,208.64
330,208.82
330.5,205.99
331,205.17
331.5,204.35
332,203.52
332.5,200.7
333,200.88
333.5,200.06
334,200.23
334.5,198.41
335,198.59
335.5,197.78
336,196.96
336.5,196.14
337,195.33
337.5,194.51
338,193.7
338.5,192.89
339,192.08
339.5,191.28
340,190.48
340.5,189.67
341,188.87
341.5,188.08
342,187.28
342.5,186.49
343,187.7
343.5,181.91
344,181.13
344.5,183.35
345,182.57
345.5,181.79
346,181.02
346.5,180.24
347,179.48
347.5,178.71
348,175.95
348.5,175.19
349,176.43
349.5,175.68
350,174.93
350.5,174.18
351,173.43
351.5,175.69
352,174.96
352.5,174.22
353,173.49
353.5,169.76
354,169.03
354.5,168.31
355,167.59
355.5,166.87
356,166.16
356.5,165.45
357,164.74
357.5,164.04
358,163.34
358.5,162.64
359,161.95
359.5,161.26
360,160.57
360.5,159.89
361,158.2
361.5,157.53
362,156.95
362.5,159.19
363,157.51
363.5,154.82
364,154.13
364.5,153.52
365,150.87
365.5,152.24
366,155.98
366.5,153.12
367,153.62
367.5,153.85
368,153.56
368.5,153.59
369,153.13
369.5,153.87
370,153.57
370.5,153.82
371,153.86
371.5,153.87
372,153.75
372.5,154.37
373,153.97
